t=2026-01-07T08:47:25+0700 lvl=info msg="no configuration paths supplied"
t=2026-01-07T08:47:25+0700 lvl=info msg="using configuration at default config path" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-07T08:47:25+0700 lvl=info msg="open config file" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=e86ba3478c1a l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=611f77756efe l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=be9f54f50db6 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=568e3d4f2016 l=[::1]:3000 r=203.83.40.12:50062
t=2026-01-07T08:48:11+0700 lvl=info msg="join connections" obj=join id=0e8da7e1f535 l=[::1]:3000 r=203.83.40.12:50950
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=d92199c75d95 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=1d0feb6dd098 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=53a30b7fe84b l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=1fd882449277 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=3bf7f8dcedc7 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=e9689bb17e38 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=75156c97b8ef l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=1680b9b68df4 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=8b06fb884d11 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=050793d637c1 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=26734812119f l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=b6ecdf0df363 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=b16c6a886093 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=bf015b7c011a l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=4377caa5f26c l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=1c549ed31c97 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=96c1d54f1d55 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=7a225d343dde l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=68019f1086c6 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=67b157140c9b l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=4b174c689ef7 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=2d52b960379b l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=2eeef50589b6 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=e89fa5d6b747 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=7f94dd25a7dc l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=fc27a52fd6c8 l=[::1]:3000 r=203.83.40.12:52939
